브랜드,isAnchor,fit,소재,앵커역할,정규화여유,성별,product,size,총장,어깨너비,가슴단면,소매길이,비고
유니클로,true,슬림핏,tee,기반,slim,여성,소프트립T(긴팔),3XL,66,39.5,51,80.5,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),XS,47,33,34.5,72.5,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),S,48.5,34,37,74,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),M,51,35,39.5,75,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),L,53,36,42,77,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),XL,55,37.5,45,77.5,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),XXL,55,38.5,48,78,소매길이 :등 중심부터 소매까지 길이
유니클로,true,슬림핏,tee,기반,slim,여성,립헨리넥T(긴팔),3XL,57,39.5,51,78.5,소매길이 :등 중심부터 소매까지 길이
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,S,67.5,46.5,51,56,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,M,69,48.5,53.5,58,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,L,70.5,50,56,59,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,XL,72,51.5,58.5,60,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,2XL,73,53,61,60.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,공용,베이식 긴소매 티셔츠,3XL,74,54.5,63.5,61,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,XS,68.8,44.5,49,56,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,S,72.8,46.5,51.5,57,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,M,74.8,48.5,54,58,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,L,76.3,50,56.5,59,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,XL,77.8,51.5,59,60,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,2XL,78.8,53,61.5,60.5,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,S,68.5,52.5,54,55.5,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,M,70.5,54.5,56.5,56.5,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,L,72,56,59,57.5,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,XL,73.5,57.5,61.5,58.5,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,2XL,74.5,59,64,59,
무신사 스탠다드,true,루즈핏,tee,기반,loose,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,3XL,74.5,60.5,66.5,59,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,S,69.5,47,51,60.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,M,71,48.5,53.5,61.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,L,72.5,50,56,62.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,XL,74,51.5,58.5,63.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,2XL,75,53,61,64,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,남성,크루 넥 긴소매 티셔츠,3XL,76,54.5,63.5,64.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,S,75,48.8,56,59.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,M,76.5,50.4,58.5,60.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,L,78,52,61,61.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,XL,79.5,53.6,63.5,62.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,2XL,80.5,55.2,66,63.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스 핏 옥스포드 셔츠,3XL,81.5,56.8,68.5,64,
무신사 스탠다드,true,레귤러핏,shirt_dress,기반,regular,남성,베이식 드레스 셔츠,S,74,43.8,50,61.5,
무신사 스탠다드,true,레귤러핏,shirt_dress,기반,regular,남성,베이식 드레스 셔츠,M,75.5,45.4,52.5,62.5,
무신사 스탠다드,true,레귤러핏,shirt_dress,기반,regular,남성,베이식 드레스 셔츠,L,77,47,55,63,
무신사 스탠다드,true,레귤러핏,shirt_dress,기반,regular,남성,베이식 드레스 셔츠,XL,78.5,48.6,57.5,64,
무신사 스탠다드,true,레귤러핏,shirt_dress,기반,regular,남성,베이식 드레스 셔츠,2XL,80,50.2,60,64.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,S,73,44.3,52,60.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,M,74.5,45.9,54.5,61.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,L,76,47.5,57,62.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,XL,77.5,49.1,59.5,63.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,2XL,78.5,50.7,62,64,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,남성,베이식 옥스포드 셔츠,3XL,79.5,52.3,64.5,64.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스드 워시드 포플린 셔츠,S,75,49.8,58,59.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스드 워시드 포플린 셔츠,M,76.5,51.4,60.5,60.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스드 워시드 포플린 셔츠,L,78,53,63,61.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스드 워시드 포플린 셔츠,XL,79.5,54.6,65.5,62.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,남성,릴렉스드 워시드 포플린 셔츠,2XL,80.5,56.2,68,63,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,S,69,46.5,52,61,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,M,71,48.5,54.5,63,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,L,72.5,50,57,64,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,XL,74,51.5,59.5,65,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,2XL,75.5,53,62,66,
무신사 스탠다드,true,레귤러핏,sweat,파생,regular,남성,스웨트셔츠,3XL,75.5,54.5,64.5,66,
무신사 스탠다드,true,슬림핏,tee,기반,slim,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,XS,53,34.7,37.5,59.3,
무신사 스탠다드,true,슬림핏,tee,기반,slim,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,S,54,36,40,60,
무신사 스탠다드,true,슬림핏,tee,기반,slim,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,M,55,37.3,42.5,60.7,
무신사 스탠다드,true,슬림핏,tee,기반,slim,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,L,56,38.6,45,61.4,
무신사 스탠다드,true,슬림핏,tee,기반,slim,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,XL,59,39.9,47.5,62.1,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,XS,55.5,36.2,41.5,57.5,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,S,56.5,37.5,44,58.25,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,M,57.5,38.8,46.5,58.9,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,L,58.5,40.1,49,59.6,
무신사 스탠다드,true,레귤러핏,tee,기반,regular,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,XL,59.5,41.4,52,60.35,
무신사 스탠다드,true,루즈핏,tee,기반,loose,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,XS,59,46.7,46.5,51.3,
무신사 스탠다드,true,루즈핏,tee,기반,loose,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,S,60,48,49,52,
무신사 스탠다드,true,루즈핏,tee,기반,loose,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,M,61,49.3,51,52.7,
무신사 스탠다드,true,루즈핏,tee,기반,loose,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,L,62,50.6,53.5,53.4,
무신사 스탠다드,true,루즈핏,tee,기반,loose,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,XL,63,51.9,57,54.1,
무신사 스탠다드,true,슬림핏,shirt_casual,기반,slim,여성,우먼즈 슬림 핏 셔츠,XS,59,37.7,42,60.3,
무신사 스탠다드,true,슬림핏,shirt_casual,기반,slim,여성,우먼즈 슬림 핏 셔츠,S,60,39,44.5,61,
무신사 스탠다드,true,슬림핏,shirt_casual,기반,slim,여성,우먼즈 슬림 핏 셔츠,M,61,40.3,47,61.7,
무신사 스탠다드,true,슬림핏,shirt_casual,기반,slim,여성,우먼즈 슬림 핏 셔츠,L,62,41.6,49.5,62.4,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,여성,우먼즈 링클프리 셔츠,XS,66.5,47.7,47.75,56.8,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,여성,우먼즈 링클프리 셔츠,S,67.5,49,50.25,57.5,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,여성,우먼즈 링클프리 셔츠,M,68.5,50.3,52.75,58.2,
무신사 스탠다드,true,루즈핏,shirt_casual,기반,loose,여성,우먼즈 링클프리 셔츠,L,69.5,51.6,55.25,58.9,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 크링클 실키 셔츠,XS,75.3,51.9,58,54.5,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 크링클 실키 셔츠,S,77,53.5,60.5,55.5,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 크링클 실키 셔츠,M,78.7,55.1,63,56.5,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 크링클 실키 셔츠,L,80.4,56.7,65.5,57.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,여성,우먼즈 릴렉스드 옥스포드 셔츠,XS,72,43.9,53.5,57.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,여성,우먼즈 릴렉스드 옥스포드 셔츠,S,73,45.5,56,58.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,여성,우먼즈 릴렉스드 옥스포드 셔츠,M,74,47.1,58.5,59.5,
무신사 스탠다드,true,레귤러핏,shirt_casual,기반,regular,여성,우먼즈 릴렉스드 옥스포드 셔츠,L,75,48.7,61,60.5,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 실키 셔츠,XS,69,54.7,57.5,53.3,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 실키 셔츠,S,70,56,60,54,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 실키 셔츠,M,71,57.3,62.5,54.7,
무신사 스탠다드,true,오버핏,shirt_casual,기반,oversize,여성,우먼즈 오버사이즈 실키 셔츠,L,72,58.6,65,55.4,
무신사 스탠다드,true,오버핏,sweat,파생,oversize,여성,우먼즈 세미 오버사이즈 스웨트셔츠,XS,57,53.7,54.5,51.8,
무신사 스탠다드,true,오버핏,sweat,파생,oversize,여성,우먼즈 세미 오버사이즈 스웨트셔츠,S,58,55,57,52.5,
무신사 스탠다드,true,오버핏,sweat,파생,oversize,여성,우먼즈 세미 오버사이즈 스웨트셔츠,M,59,56.3,59.5,53.2,
무신사 스탠다드,true,오버핏,sweat,파생,oversize,여성,우먼즈 세미 오버사이즈 스웨트셔츠,L,60,57.6,62,53.9,
스파오,true,오버핏,shirt_casual,기반,oversize,공용,오버핏 체크 셔츠_SPYCG37C01,S,75,52,60,56,
스파오,true,오버핏,shirt_casual,기반,oversize,공용,오버핏 체크 셔츠_SPYCG37C01,M,77,53.5,62.5,57.5,
스파오,true,오버핏,shirt_casual,기반,oversize,공용,오버핏 체크 셔츠_SPYCG37C01,L,79,55,65,59,
스파오,true,오버핏,shirt_casual,기반,oversize,공용,오버핏 체크 셔츠_SPYCG37C01,XL,81,56.5,67.5,60.5,
스파오,true,오버핏,shirt_casual,기반,oversize,공용,오버핏 체크 셔츠_SPYCG37C01,XXL,82,58,70,61.5,
스파오,true,레귤러핏,shirt_casual,기반,regular,공용,남성 크롭 체크 셔츠,M,68,53.5,60.5,57.5,
스파오,true,레귤러핏,shirt_casual,기반,regular,공용,남성 크롭 체크 셔츠,L,70,55,63,59,
스파오,true,레귤러핏,shirt_casual,기반,regular,공용,남성 크롭 체크 셔츠,XL,72,56.5,65.5,60.5
스파오,true,레귤러핏,shirt_casual,기반,regular,공용,남성 크롭 체크 셔츠,XXL,73,58,68,61.5
스파오,true,오버핏,shirt_casual,기반,oversize,남성,오버핏 옥스포드 셔츠,S,75,52,60,56
스파오,true,오버핏,shirt_casual,기반,oversize,남성,오버핏 옥스포드 셔츠,M,77,53.5,62.5,57.5
스파오,true,오버핏,shirt_casual,기반,oversize,남성,오버핏 옥스포드 셔츠,L,79,55,65,59
스파오,true,오버핏,shirt_casual,기반,oversize,남성,오버핏 옥스포드 셔츠,XL,81,56.5,67.5,60
스파오,true,오버핏,shirt_casual,기반,oversize,남성,오버핏 옥스포드 셔츠,XXL,82,58,70,61.5
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 긴팔티,S,66,50,53,56.5
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 긴팔티,M,68,51.5,55.5,58
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 긴팔티,L,70,53,58,59.5
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 긴팔티,XL,72,54.5,60.5,61
스파오,true,루즈핏,tee,기반,loose,남성,루즈핏 긴팔티,S,67,50,53,57
스파오,true,루즈핏,tee,기반,loose,남성,루즈핏 긴팔티,M,69,51.5,55.5,58.5
스파오,true,루즈핏,tee,기반,loose,남성,루즈핏 긴팔티,L,71,53,58,60
스파오,true,루즈핏,tee,기반,loose,남성,루즈핏 긴팔티,XL,73,54.5,60.5,61.5
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 럭비티,S,64,55,54,55
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 럭비티,M,66,56.5,56.5,56.5
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 럭비티,L,68,58,59,58
스파오,true,레귤러핏,tee,기반,regular,공용,멀티 스트라이프 럭비티,XL,70,59.5,61.5,59.5
스파오,true,레귤러핏,sweat,파생,regular,공용,[프렌치테리] 라운드넥 스웨트셔츠,S,65,50,53,61
스파오,true,레귤러핏,sweat,파생,regular,공용,[프렌치테리] 라운드넥 스웨트셔츠,M,67,51.5,55.5,62.5
스파오,true,레귤러핏,sweat,파생,regular,공용,[프렌치테리] 라운드넥 스웨트셔츠,L,69,53,58,64
스파오,true,레귤러핏,sweat,파생,regular,공용,[프렌치테리] 라운드넥 스웨트셔츠,XL,71,54.5,60.5,65.5
스파오,true,레귤러핏,sweat,파생,regular,공용,[프렌치테리] 라운드넥 스웨트셔츠,XXL,72,56,63,66.5
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 스트라이프 오버핏 셔츠,S,71,50,57.5,55
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 스트라이프 오버핏 셔츠,M,73,51.5,60,56
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 스트라이프 오버핏 셔츠,L,75,53,62.5,57
스파오,true,레귤러핏,shirt_casual,기반,regular,여성,[프리미엄] 여성 긴팔 셔츠 (리넨 100%),S,71,50,57.5,55
스파오,true,레귤러핏,shirt_casual,기반,regular,여성,[프리미엄] 여성 긴팔 셔츠 (리넨 100%),M,73,51.5,60,56
스파오,true,레귤러핏,shirt_casual,기반,regular,여성,[프리미엄] 여성 긴팔 셔츠 (리넨 100%),L,75,53,62.5,57
스파오,true,레귤러핏,shirt_casual,기반,regular,여성,[프리미엄] 여성 긴팔 셔츠 (리넨 100%),XL,77,54.5,65,57.5
스파오,true,슬림핏,shirt_casual,기반,slim,여성,슬림핏 셔츠,S,58,38.5,43,61
스파오,true,슬림핏,shirt_casual,기반,slim,여성,슬림핏 셔츠,M,60,40,45.5,62.5
스파오,true,슬림핏,shirt_casual,기반,slim,여성,슬림핏 셔츠,L,62,41.5,48,64
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 오버핏 체크 셔츠,S,71,50,57.5,55
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 오버핏 체크 셔츠,M,73,51.5,60,56
스파오,true,오버핏,shirt_casual,기반,oversize,여성,여성 오버핏 체크 셔츠,L,75,53,62.5,57
